op_name,kernel_source,num_tokens,hidden,inter,num_experts,topk,ep_size,num_local_experts,dtype,latency_us
moe_dispatch_combine,vllm_ascend_FusedMC2,64,6144,2048,256,8,4,64,w8a8_dynamic,1681.3896
moe_dispatch_combine,vllm_ascend_FusedMC2,96,6144,2048,256,8,4,64,bf16,2250.8040
moe_dispatch_combine,vllm_ascend_FusedMC2,96,6144,2048,256,8,4,64,w8a8_dynamic,1210.3976
moe_dispatch_combine,vllm_ascend_FusedMC2,128,6144,2048,256,8,4,64,bf16,1727.7795
moe_dispatch_combine,vllm_ascend_FusedMC2,128,6144,2048,256,8,4,64,w8a8_dynamic,953.5212
moe_dispatch_combine,vllm_ascend_FusedMC2,192,6144,2048,256,8,4,64,bf16,1262.8124
moe_dispatch_combine,vllm_ascend_FusedMC2,192,6144,2048,256,8,4,64,w8a8_dynamic,734.5120
moe_dispatch_combine,vllm_ascend_FusedMC2,256,6144,2048,256,8,4,64,bf16,994.2164
moe_dispatch_combine,vllm_ascend_FusedMC2,256,6144,2048,256,8,4,64,w8a8_dynamic,619.8156
moe_dispatch_combine,vllm_ascend_FusedMC2,384,6144,2048,256,8,4,64,bf16,781.7016
moe_dispatch_combine,vllm_ascend_FusedMC2,384,6144,2048,256,8,4,64,w8a8_dynamic,557.1032
moe_dispatch_combine,vllm_ascend_FusedMC2,512,6144,2048,256,8,4,64,bf16,670.3184
moe_dispatch_combine,vllm_ascend_FusedMC2,512,6144,2048,256,8,4,64,w8a8_dynamic,542.1052
moe_dispatch_combine,vllm_ascend_FusedMC2,768,6144,2048,256,8,4,64,bf16,600.1716
moe_dispatch_combine,vllm_ascend_FusedMC2,768,6144,2048,256,8,4,64,w8a8_dynamic,579.5544
moe_dispatch_combine,vllm_ascend_FusedMC2,1024,6144,2048,256,8,4,64,bf16,676.6728
moe_dispatch_combine,vllm_ascend_FusedMC2,1024,6144,2048,256,8,4,64,w8a8_dynamic,592.4236
moe_dispatch_combine,vllm_ascend_FusedMC2,1536,6144,2048,256,8,4,64,bf16,751.7412
moe_dispatch_combine,vllm_ascend_FusedMC2,1536,6144,2048,256,8,4,64,w8a8_dynamic,763.6952
moe_dispatch_combine,vllm_ascend_FusedMC2,2048,6144,2048,256,8,4,64,bf16,829.8696
