framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,8,4,128,1,float16,float16,0,0.08038
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,8,0,128,1,float16,float16,0,0.12731
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,16,0,128,1,float16,float16,0,0.1437
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,16,1,128,1,float16,float16,0,0.11488
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,16,4,128,1,float16,float16,0,0.11677
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,16,8,128,1,float16,float16,0,0.11676
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,32,0,128,1,float16,float16,0,0.18716
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,32,1,128,1,float16,float16,0,0.18004
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,32,4,128,1,float16,float16,0,0.18195
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,32,8,128,1,float16,float16,0,0.182
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,40,0,128,1,float16,float16,0,0.20740999999999998
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,40,1,128,1,float16,float16,0,0.20895
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,40,4,128,1,float16,float16,0,0.21615
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,40,8,128,1,float16,float16,0,0.21374
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,64,0,128,1,float16,float16,0,0.27287
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,64,1,128,1,float16,float16,0,0.29905000000000004
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,64,4,128,1,float16,float16,0,0.30744
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,1024,64,8,128,1,float16,float16,0,0.30031
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,8,0,128,1,float16,float16,0,0.16847
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,8,1,128,1,float16,float16,0,0.13237000000000002
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,8,4,128,1,float16,float16,0,0.13438999999999998
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,8,0,128,1,float16,float16,0,0.17374
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,16,0,128,1,float16,float16,0,0.24436000000000002
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,16,1,128,1,float16,float16,0,0.21684
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,16,4,128,1,float16,float16,0,0.21974000000000002
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,16,8,128,1,float16,float16,0,0.21749000000000002
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,32,0,128,1,float16,float16,0,0.37924
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,32,1,128,1,float16,float16,0,0.37672000000000005
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,32,4,128,1,float16,float16,0,0.37898000000000004
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,32,8,128,1,float16,float16,0,0.38172
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,40,0,128,1,float16,float16,0,0.45218
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,40,1,128,1,float16,float16,0,0.45919
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,40,4,128,1,float16,float16,0,0.46308
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,40,8,128,1,float16,float16,0,0.46438
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,64,0,128,1,float16,float16,0,0.68347
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,64,1,128,1,float16,float16,0,0.70297
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,64,4,128,1,float16,float16,0,0.7090700000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,2048,64,8,128,1,float16,float16,0,0.71005
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,8,0,128,1,float16,float16,0,0.33726
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,8,1,128,1,float16,float16,0,0.29792
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,8,4,128,1,float16,float16,0,0.31388
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,8,0,128,1,float16,float16,0,0.34364999999999996
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,16,0,128,1,float16,float16,0,0.5676100000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,16,1,128,1,float16,float16,0,0.5418999999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,16,4,128,1,float16,float16,0,0.5649500000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,16,8,128,1,float16,float16,0,0.5655
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,32,0,128,1,float16,float16,0,1.06543
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,32,1,128,1,float16,float16,0,1.031
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,32,4,128,1,float16,float16,0,1.0875599999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,32,8,128,1,float16,float16,0,1.08965
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,40,0,128,1,float16,float16,0,1.3622400000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,40,1,128,1,float16,float16,0,1.2698900000000002
