nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,2,786432,HCCL,all_reduce,0.01954
half,4,786432,HCCL,all_reduce,0.02088
half,8,786432,HCCL,all_reduce,0.01952
half,8,946176,HCCL,all_reduce,0.02133
half,2,1048576,HCCL,all_reduce,0.02416
half,4,1048576,HCCL,all_reduce,0.02536
half,8,1048576,HCCL,all_reduce,0.02304
half,16,1048576,HCCL,all_reduce,0.02974
half,16,1320960,HCCL,all_reduce,0.0339
half,2,1863680,HCCL,all_reduce,0.0382
half,4,1863680,HCCL,all_reduce,0.04046
half,8,1863680,HCCL,all_reduce,0.0355
half,2,2097152,HCCL,all_reduce,0.04261
half,4,2097152,HCCL,all_reduce,0.04452
half,8,2097152,HCCL,all_reduce,0.03912
half,16,2097152,HCCL,all_reduce,0.04318
half,16,2641920,HCCL,all_reduce,0.05158
half,16,2652160,HCCL,all_reduce,0.0516
half,8,2781184,HCCL,all_reduce,0.0497
half,2,3670016,HCCL,all_reduce,0.14704
half,4,3670016,HCCL,all_reduce,0.07432
half,8,3670016,HCCL,all_reduce,0.0633
half,16,3952640,HCCL,all_reduce,0.06872
half,2,4194304,HCCL,all_reduce,0.1462
half,4,4194304,HCCL,all_reduce,0.08493
half,8,4194304,HCCL,all_reduce,0.07122
half,16,4194304,HCCL,all_reduce,0.07284
half,16,5263360,HCCL,all_reduce,0.08672
half,2,8388608,HCCL,all_reduce,0.17527
half,4,8388608,HCCL,all_reduce,0.25359
half,8,8388608,HCCL,all_reduce,0.13884
half,16,8388608,HCCL,all_reduce,0.1378
half,16,9185280,HCCL,all_reduce,0.15486
half,2,16777216,HCCL,all_reduce,0.18444
half,4,16777216,HCCL,all_reduce,0.24438
half,8,16777216,HCCL,all_reduce,0.34187
half,16,16777216,HCCL,all_reduce,0.29596
half,16,22435840,HCCL,all_reduce,0.59443
half,2,33554432,HCCL,all_reduce,0.30246
half,4,33554432,HCCL,all_reduce,0.30381
half,8,33554432,HCCL,all_reduce,0.39477
half,16,33554432,HCCL,all_reduce,0.59275
half,16,41943040,HCCL,all_reduce,0.62311
half,2,67108864,HCCL,all_reduce,0.59063
half,4,67108864,HCCL,all_reduce,0.53807
half,8,67108864,HCCL,all_reduce,0.66175
half,16,67108864,HCCL,all_reduce,0.83308
half,2,134217728,HCCL,all_reduce,1.1928
half,4,134217728,HCCL,all_reduce,1.05666
half,8,134217728,HCCL,all_reduce,1.2214
half,16,134217728,HCCL,all_reduce,1.37309
half,2,268435456,HCCL,all_reduce,2.37555
half,4,268435456,HCCL,all_reduce,2.14222
half,8,268435456,HCCL,all_reduce,2.44911
half,16,268435456,HCCL,all_reduce,2.80932
half,2,536870912,HCCL,all_reduce,4.77877
half,4,536870912,HCCL,all_reduce,4.25643
half,8,536870912,HCCL,all_reduce,4.81204
half,16,536870912,HCCL,all_reduce,5.31833
half,32,128,HCCL,all_reduce,0.0285
half,32,256,HCCL,all_reduce,0.02991
half,32,512,HCCL,all_reduce,0.03076
half,32,1024,HCCL,all_reduce,0.02858
half,32,2048,HCCL,all_reduce,0.02813
half,32,4096,HCCL,all_reduce,0.02868
half,32,8192,HCCL,all_reduce,0.02921
half,32,16384,HCCL,all_reduce,0.02972
half,32,32768,HCCL,all_reduce,0.03127
half,32,65536,HCCL,all_reduce,0.02981
half,32,131072,HCCL,all_reduce,0.03241
half,32,262144,HCCL,all_reduce,0.03133
half,32,524288,HCCL,all_reduce,0.03494
half,32,1048576,HCCL,all_reduce,0.07799
half,32,2097152,HCCL,all_reduce,0.0529
half,32,4194304,HCCL,all_reduce,0.08571
half,32,8388608,HCCL,all_reduce,0.32825
half,32,16777216,HCCL,all_reduce,0.45878
half,32,33554432,HCCL,all_reduce,0.74078
half,32,67108864,HCCL,all_reduce,1.05619
half,32,134217728,HCCL,all_reduce,1.61008
half,32,268435456,HCCL,all_reduce,3.13969
half,32,536870912,HCCL,all_reduce,5.76196
half,2,128,HCCL,all_to_all,0.00508
half,4,128,HCCL,all_to_all,0.00791
half,8,128,HCCL,all_to_all,0.01294
half,16,128,HCCL,all_to_all,0.01771
half,2,256,HCCL,all_to_all,0.00523
half,4,256,HCCL,all_to_all,0.01003
half,8,256,HCCL,all_to_all,0.01297
half,16,256,HCCL,all_to_all,0.01796
half,2,512,HCCL,all_to_all,0.00723
half,4,512,HCCL,all_to_all,0.00837
half,8,512,HCCL,all_to_all,0.01228
half,16,512,HCCL,all_to_all,0.01789
half,2,1024,HCCL,all_to_all,0.00723
half,4,1024,HCCL,all_to_all,0.01033
half,8,1024,HCCL,all_to_all,0.01597
half,16,1024,HCCL,all_to_all,0.01867
half,2,2048,HCCL,all_to_all,0.00722
half,4,2048,HCCL,all_to_all,0.01039
half,8,2048,HCCL,all_to_all,0.01554
half,16,2048,HCCL,all_to_all,0.01875
half,2,4096,HCCL,all_to_all,0.00741
half,4,4096,HCCL,all_to_all,0.0105
half,8,4096,HCCL,all_to_all,0.01577
