OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"512,64,128;512,1,128;512,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,64,128",DT_BF16,ND,149.79,attention_context,1,512,64,1,128
dynamic,AI_CORE,"512,64,128;512,4,128;512,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,64,128",DT_BF16,ND,153.82,attention_context,1,512,64,4,128
dynamic,AI_CORE,"512,64,128;512,8,128;512,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"512,64,128",DT_BF16,ND,150.91,attention_context,1,512,64,8,128
dynamic,AI_CORE,"1024,8,128;1024,8,128;1024,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,8,128",DT_BF16,ND,122.97,attention_context,1,1024,8,0,128
dynamic,AI_CORE,"1024,8,128;1024,1,128;1024,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,8,128",DT_BF16,ND,79.35,attention_context,1,1024,8,1,128
dynamic,AI_CORE,"1024,8,128;1024,4,128;1024,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,8,128",DT_BF16,ND,80.38,attention_context,1,1024,8,4,128
dynamic,AI_CORE,"1024,8,128;1024,8,128;1024,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,8,128",DT_BF16,ND,127.31,attention_context,1,1024,8,8,128
dynamic,AI_CORE,"1024,16,128;1024,16,128;1024,16,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,16,128",DT_BF16,ND,143.70,attention_context,1,1024,16,0,128
dynamic,AI_CORE,"1024,16,128;1024,1,128;1024,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,16,128",DT_BF16,ND,114.88,attention_context,1,1024,16,1,128
dynamic,AI_CORE,"1024,16,128;1024,4,128;1024,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,16,128",DT_BF16,ND,116.77,attention_context,1,1024,16,4,128
dynamic,AI_CORE,"1024,16,128;1024,8,128;1024,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,16,128",DT_BF16,ND,116.76,attention_context,1,1024,16,8,128
dynamic,AI_CORE,"1024,32,128;1024,32,128;1024,32,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,32,128",DT_BF16,ND,187.16,attention_context,1,1024,32,0,128
dynamic,AI_CORE,"1024,32,128;1024,1,128;1024,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,32,128",DT_BF16,ND,180.04,attention_context,1,1024,32,1,128
dynamic,AI_CORE,"1024,32,128;1024,4,128;1024,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,32,128",DT_BF16,ND,181.95,attention_context,1,1024,32,4,128
dynamic,AI_CORE,"1024,32,128;1024,8,128;1024,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,32,128",DT_BF16,ND,182.00,attention_context,1,1024,32,8,128
dynamic,AI_CORE,"1024,40,128;1024,40,128;1024,40,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,40,128",DT_BF16,ND,207.41,attention_context,1,1024,40,0,128
dynamic,AI_CORE,"1024,40,128;1024,1,128;1024,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,40,128",DT_BF16,ND,208.95,attention_context,1,1024,40,1,128
dynamic,AI_CORE,"1024,40,128;1024,4,128;1024,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,40,128",DT_BF16,ND,216.15,attention_context,1,1024,40,4,128
dynamic,AI_CORE,"1024,40,128;1024,8,128;1024,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,40,128",DT_BF16,ND,213.74,attention_context,1,1024,40,8,128
dynamic,AI_CORE,"1024,64,128;1024,64,128;1024,64,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,64,128",DT_BF16,ND,272.87,attention_context,1,1024,64,0,128
dynamic,AI_CORE,"1024,64,128;1024,1,128;1024,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,64,128",DT_BF16,ND,299.05,attention_context,1,1024,64,1,128
dynamic,AI_CORE,"1024,64,128;1024,4,128;1024,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,64,128",DT_BF16,ND,307.44,attention_context,1,1024,64,4,128
dynamic,AI_CORE,"1024,64,128;1024,8,128;1024,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1024,64,128",DT_BF16,ND,300.31,attention_context,1,1024,64,8,128
dynamic,AI_CORE,"2048,8,128;2048,8,128;2048,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,8,128",DT_BF16,ND,168.47,attention_context,1,2048,8,0,128
dynamic,AI_CORE,"2048,8,128;2048,1,128;2048,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,8,128",DT_BF16,ND,132.37,attention_context,1,2048,8,1,128
dynamic,AI_CORE,"2048,8,128;2048,4,128;2048,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,8,128",DT_BF16,ND,134.39,attention_context,1,2048,8,4,128
dynamic,AI_CORE,"2048,8,128;2048,8,128;2048,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,8,128",DT_BF16,ND,173.74,attention_context,1,2048,8,8,128
dynamic,AI_CORE,"2048,16,128;2048,16,128;2048,16,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,16,128",DT_BF16,ND,244.36,attention_context,1,2048,16,0,128
dynamic,AI_CORE,"2048,16,128;2048,1,128;2048,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,16,128",DT_BF16,ND,216.84,attention_context,1,2048,16,1,128
dynamic,AI_CORE,"2048,16,128;2048,4,128;2048,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,16,128",DT_BF16,ND,219.74,attention_context,1,2048,16,4,128
dynamic,AI_CORE,"2048,16,128;2048,8,128;2048,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,16,128",DT_BF16,ND,217.49,attention_context,1,2048,16,8,128
dynamic,AI_CORE,"2048,32,128;2048,32,128;2048,32,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,32,128",DT_BF16,ND,379.24,attention_context,1,2048,32,0,128
dynamic,AI_CORE,"2048,32,128;2048,1,128;2048,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,32,128",DT_BF16,ND,376.72,attention_context,1,2048,32,1,128
dynamic,AI_CORE,"2048,32,128;2048,4,128;2048,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,32,128",DT_BF16,ND,378.98,attention_context,1,2048,32,4,128
dynamic,AI_CORE,"2048,32,128;2048,8,128;2048,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,32,128",DT_BF16,ND,381.72,attention_context,1,2048,32,8,128
dynamic,AI_CORE,"2048,40,128;2048,40,128;2048,40,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,40,128",DT_BF16,ND,452.18,attention_context,1,2048,40,0,128
dynamic,AI_CORE,"2048,40,128;2048,1,128;2048,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,40,128",DT_BF16,ND,459.19,attention_context,1,2048,40,1,128
dynamic,AI_CORE,"2048,40,128;2048,4,128;2048,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,40,128",DT_BF16,ND,463.08,attention_context,1,2048,40,4,128
dynamic,AI_CORE,"2048,40,128;2048,8,128;2048,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,40,128",DT_BF16,ND,464.38,attention_context,1,2048,40,8,128
dynamic,AI_CORE,"2048,64,128;2048,64,128;2048,64,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,64,128",DT_BF16,ND,683.47,attention_context,1,2048,64,0,128
dynamic,AI_CORE,"2048,64,128;2048,1,128;2048,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,64,128",DT_BF16,ND,702.97,attention_context,1,2048,64,1,128
dynamic,AI_CORE,"2048,64,128;2048,4,128;2048,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,64,128",DT_BF16,ND,709.07,attention_context,1,2048,64,4,128
dynamic,AI_CORE,"2048,64,128;2048,8,128;2048,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"2048,64,128",DT_BF16,ND,710.05,attention_context,1,2048,64,8,128
dynamic,AI_CORE,"4096,8,128;4096,8,128;4096,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,8,128",DT_BF16,ND,337.26,attention_context,1,4096,8,0,128
dynamic,AI_CORE,"4096,8,128;4096,1,128;4096,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,8,128",DT_BF16,ND,297.92,attention_context,1,4096,8,1,128
dynamic,AI_CORE,"4096,8,128;4096,4,128;4096,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,8,128",DT_BF16,ND,313.88,attention_context,1,4096,8,4,128
dynamic,AI_CORE,"4096,8,128;4096,8,128;4096,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,8,128",DT_BF16,ND,343.65,attention_context,1,4096,8,8,128
dynamic,AI_CORE,"4096,16,128;4096,16,128;4096,16,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,16,128",DT_BF16,ND,567.61,attention_context,1,4096,16,0,128
dynamic,AI_CORE,"4096,16,128;4096,1,128;4096,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,16,128",DT_BF16,ND,541.90,attention_context,1,4096,16,1,128
dynamic,AI_CORE,"4096,16,128;4096,4,128;4096,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,16,128",DT_BF16,ND,564.95,attention_context,1,4096,16,4,128
dynamic,AI_CORE,"4096,16,128;4096,8,128;4096,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,16,128",DT_BF16,ND,565.50,attention_context,1,4096,16,8,128
dynamic,AI_CORE,"4096,32,128;4096,32,128;4096,32,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,32,128",DT_BF16,ND,1065.43,attention_context,1,4096,32,0,128
dynamic,AI_CORE,"4096,32,128;4096,1,128;4096,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,32,128",DT_BF16,ND,1031.00,attention_context,1,4096,32,1,128
dynamic,AI_CORE,"4096,32,128;4096,4,128;4096,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,32,128",DT_BF16,ND,1087.56,attention_context,1,4096,32,4,128
dynamic,AI_CORE,"4096,32,128;4096,8,128;4096,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,32,128",DT_BF16,ND,1089.65,attention_context,1,4096,32,8,128
dynamic,AI_CORE,"4096,40,128;4096,40,128;4096,40,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,40,128",DT_BF16,ND,1362.24,attention_context,1,4096,40,0,128
dynamic,AI_CORE,"4096,40,128;4096,1,128;4096,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,40,128",DT_BF16,ND,1269.89,attention_context,1,4096,40,1,128
dynamic,AI_CORE,"4096,40,128;4096,4,128;4096,4,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,40,128",DT_BF16,ND,1326.13,attention_context,1,4096,40,4,128
dynamic,AI_CORE,"4096,40,128;4096,8,128;4096,8,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,40,128",DT_BF16,ND,1328.98,attention_context,1,4096,40,8,128
dynamic,AI_CORE,"4096,64,128;4096,64,128;4096,64,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,64,128",DT_BF16,ND,2150.31,attention_context,1,4096,64,0,128
dynamic,AI_CORE,"4096,64,128;4096,1,128;4096,1,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"4096,64,128",DT_BF16,ND,2009.39,attention_context,1,4096,64,1,128
