framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,2048,1024,8,128,1,4,power_law_1.2,0.36257
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,2048,1024,8,128,1,4,power_law_1.2,0.5794900000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,2048,1024,8,128,1,4,power_law_1.2,0.92991
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,2048,1408,6,64,1,1,power_law_1.2,0.10039000000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,2048,1408,6,64,1,1,power_law_1.2,0.12533
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,2048,1408,6,64,1,1,power_law_1.2,0.17656
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,2048,1408,6,64,1,1,power_law_1.2,0.26677
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,2048,1408,6,64,1,1,power_law_1.2,0.31279
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,2048,1408,6,64,1,1,power_law_1.2,0.39306
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,2048,1408,6,64,1,1,power_law_1.2,0.4152
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,2048,1408,6,64,1,1,power_law_1.2,0.43016000000000004
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,2048,1408,6,64,1,1,power_law_1.2,0.45293
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,2048,1408,6,64,1,1,power_law_1.2,0.50057
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,2048,1408,6,64,1,1,power_law_1.2,0.60465
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,2048,1408,6,64,1,1,power_law_1.2,1.1477899999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,2048,1408,6,64,1,1,power_law_1.2,1.9813900000000002
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,5120,1536,6,160,1,4,power_law_1.2,0.061630000000000004
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,5120,1536,6,160,1,4,power_law_1.2,0.12966
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,5120,1536,6,160,1,4,power_law_1.2,0.15875999999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,5120,1536,6,160,1,4,power_law_1.2,0.27101
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,5120,1536,6,160,1,4,power_law_1.2,0.35855000000000004
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,5120,1536,6,160,1,4,power_law_1.2,0.62312
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,5120,1536,6,160,1,4,power_law_1.2,0.6414500000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,5120,1536,6,160,1,4,power_law_1.2,0.66122
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,5120,1536,6,160,1,4,power_law_1.2,0.6946599999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,5120,1536,6,160,1,4,power_law_1.2,0.7410599999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,5120,1536,6,160,1,4,power_law_1.2,0.81512
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,5120,1536,6,160,1,4,power_law_1.2,0.9706699999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,5120,1536,6,160,1,4,power_law_1.2,1.86744
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,7168,2048,8,256,1,8,power_law_1.2,0.14002
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,7168,2048,8,256,1,8,power_law_1.2,0.15991999999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,7168,2048,8,256,1,8,power_law_1.2,0.18322999999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,7168,2048,8,256,1,8,power_law_1.2,0.40496
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,7168,2048,8,256,1,8,power_law_1.2,0.40123000000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,7168,2048,8,256,1,8,power_law_1.2,0.6546900000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,7168,2048,8,256,1,8,power_law_1.2,0.90096
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,7168,2048,8,256,1,8,power_law_1.2,1.00872
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,7168,2048,8,256,1,8,power_law_1.2,1.0382
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,7168,2048,8,256,1,8,power_law_1.2,1.11011
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,7168,2048,8,256,1,8,power_law_1.2,1.1578499999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,7168,2048,8,256,1,8,power_law_1.2,1.5463399999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,7168,2048,8,256,1,8,power_law_1.2,2.5185999999999997
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,7168,2048,8,256,1,8,power_law_1.2,0.031010000000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,7168,2048,8,256,1,8,power_law_1.2,0.1364
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,7168,2048,8,256,1,8,power_law_1.2,0.21559999999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,7168,2048,8,256,1,8,power_law_1.2,0.34402
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,7168,2048,8,256,1,8,power_law_1.2,0.5296000000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,7168,2048,8,256,1,8,power_law_1.2,0.7449199999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,7168,2048,8,256,1,8,power_law_1.2,0.99785
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,7168,2048,8,256,1,8,power_law_1.2,1.01023
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,7168,2048,8,256,1,8,power_law_1.2,1.0398699999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,7168,2048,8,256,1,8,power_law_1.2,1.1006500000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,7168,2048,8,256,1,8,power_law_1.2,1.17713
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,7168,2048,8,256,1,8,power_law_1.2,1.53778
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,7168,2048,8,256,1,8,power_law_1.2,2.54304
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,6144,9216,2,32,1,4,power_law_1.2,0.2059
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,6144,9216,2,32,1,4,power_law_1.2,0.39926999999999996
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,6144,9216,2,32,1,4,power_law_1.2,0.29558999999999996
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,6144,9216,2,32,1,4,power_law_1.2,0.62352
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,6144,9216,2,32,1,4,power_law_1.2,0.48214
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,6144,9216,2,32,1,4,power_law_1.2,0.90938
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,6144,9216,2,32,1,4,power_law_1.2,0.93028
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,6144,9216,2,32,1,4,power_law_1.2,0.944
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,6144,9216,2,32,1,4,power_law_1.2,0.95284
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,6144,9216,2,32,1,4,power_law_1.2,0.99085
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,6144,9216,2,32,1,4,power_law_1.2,1.03745
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,6144,9216,2,32,1,4,power_law_1.2,1.29953
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,6144,9216,2,32,1,4,power_law_1.2,2.3806100000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,3584,2560,8,64,1,1,power_law_1.2,0.21059
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,3584,2560,8,64,1,1,power_law_1.2,0.34641000000000005
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,3584,2560,8,64,1,1,power_law_1.2,0.53067
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,3584,2560,8,64,1,1,power_law_1.2,0.78961
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,3584,2560,8,64,1,1,power_law_1.2,1.04162
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,3584,2560,8,64,1,1,power_law_1.2,1.18913
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,3584,2560,8,64,1,1,power_law_1.2,1.2123199999999998
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,3584,2560,8,64,1,1,power_law_1.2,1.24143
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,256,3584,2560,8,64,1,1,power_law_1.2,1.2956500000000002
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,512,3584,2560,8,64,1,1,power_law_1.2,1.39459
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1024,3584,2560,8,64,1,1,power_law_1.2,2.0631500000000003
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2048,3584,2560,8,64,1,1,power_law_1.2,3.34532
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4096,3584,2560,8,64,1,1,power_law_1.2,5.964510000000001
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,1,2048,1024,8,128,1,4,power_law_1.2,0.08851
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,2,2048,1024,8,128,1,4,power_law_1.2,0.09064
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,4,2048,1024,8,128,1,4,power_law_1.2,0.09634999999999999
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,8,2048,1024,8,128,1,4,power_law_1.2,0.13271
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,16,2048,1024,8,128,1,4,power_law_1.2,0.13778
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,32,2048,1024,8,128,1,4,power_law_1.2,0.17768
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,64,2048,1024,8,128,1,4,power_law_1.2,0.19240000000000002
vllm-ascend,0.18.0,Ascend 910B,moe,vllm_ascend_fused_moe,float16,128,2048,1024,8,128,1,4,power_law_1.2,0.20105
