OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Quant Type,Num Tokens,Hidden Size,Intermediate Size,Num Experts,TopK,EP Size,Local Experts,Model
dynamic,MIX_AIC,"4,3584;64,5120,3584",INT8;INT8,ND;ND,"4,3584",DT_BF16,ND,530.67,w8a8_dynamic,4,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"8,3584;64,5120,3584",INT8;INT8,ND;ND,"8,3584",DT_BF16,ND,789.61,w8a8_dynamic,8,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"16,3584;64,5120,3584",INT8;INT8,ND;ND,"16,3584",DT_BF16,ND,1041.62,w8a8_dynamic,16,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"32,3584;64,5120,3584",INT8;INT8,ND;ND,"32,3584",DT_BF16,ND,1189.13,w8a8_dynamic,32,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"64,3584;64,5120,3584",INT8;INT8,ND;ND,"64,3584",DT_BF16,ND,1212.32,w8a8_dynamic,64,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"128,3584;64,5120,3584",INT8;INT8,ND;ND,"128,3584",DT_BF16,ND,1241.43,w8a8_dynamic,128,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"256,3584;64,5120,3584",INT8;INT8,ND;ND,"256,3584",DT_BF16,ND,1295.65,w8a8_dynamic,256,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"512,3584;64,5120,3584",INT8;INT8,ND;ND,"512,3584",DT_BF16,ND,1394.59,w8a8_dynamic,512,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"1024,3584;64,5120,3584",INT8;INT8,ND;ND,"1024,3584",DT_BF16,ND,2063.15,w8a8_dynamic,1024,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"2048,3584;64,5120,3584",INT8;INT8,ND;ND,"2048,3584",DT_BF16,ND,3345.32,w8a8_dynamic,2048,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"4096,3584;64,5120,3584",INT8;INT8,ND;ND,"4096,3584",DT_BF16,ND,5964.51,w8a8_dynamic,4096,3584,2560,64,8,1,64,qwen2-moe-57b
dynamic,MIX_AIC,"1,2048;32,2048,2048",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,88.51,w8a8_dynamic,1,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"2,2048;32,2048,2048",INT8;INT8,ND;ND,"2,2048",DT_BF16,ND,90.64,w8a8_dynamic,2,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"4,2048;32,2048,2048",INT8;INT8,ND;ND,"4,2048",DT_BF16,ND,96.35,w8a8_dynamic,4,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"8,2048;32,2048,2048",INT8;INT8,ND;ND,"8,2048",DT_BF16,ND,132.71,w8a8_dynamic,8,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"16,2048;32,2048,2048",INT8;INT8,ND;ND,"16,2048",DT_BF16,ND,137.78,w8a8_dynamic,16,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"32,2048;32,2048,2048",INT8;INT8,ND;ND,"32,2048",DT_BF16,ND,177.68,w8a8_dynamic,32,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"64,2048;32,2048,2048",INT8;INT8,ND;ND,"64,2048",DT_BF16,ND,192.40,w8a8_dynamic,64,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"128,2048;32,2048,2048",INT8;INT8,ND;ND,"128,2048",DT_BF16,ND,201.05,w8a8_dynamic,128,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"256,2048;32,2048,2048",INT8;INT8,ND;ND,"256,2048",DT_BF16,ND,220.25,w8a8_dynamic,256,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"512,2048;32,2048,2048",INT8;INT8,ND;ND,"512,2048",DT_BF16,ND,249.45,w8a8_dynamic,512,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"1024,2048;32,2048,2048",INT8;INT8,ND;ND,"1024,2048",DT_BF16,ND,301.05,w8a8_dynamic,1024,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"2048,2048;32,2048,2048",INT8;INT8,ND;ND,"2048,2048",DT_BF16,ND,434.75,w8a8_dynamic,2048,2048,1024,128,8,4,32,qwen3-moe-30b
dynamic,MIX_AIC,"4096,2048;32,2048,2048",INT8;INT8,ND;ND,"4096,2048",DT_BF16,ND,771.76,w8a8_dynamic,4096,2048,1024,128,8,4,32,qwen3-moe-30b
