OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,8,128;4,128,512;4,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,61.91,attention_generation,1,512,8,4,128
dynamic,AI_CORE,"1,8,128;4,128,1024;4,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,62.12,attention_generation,1,512,8,8,128
dynamic,AI_CORE,"1,16,128;4,128,2048;4,128,2048",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,62.49,attention_generation,1,512,16,0,128
dynamic,AI_CORE,"1,16,128;4,128,128;4,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,61.70,attention_generation,1,512,16,1,128
dynamic,AI_CORE,"1,16,128;4,128,512;4,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,62.01,attention_generation,1,512,16,4,128
dynamic,AI_CORE,"1,16,128;4,128,1024;4,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,61.63,attention_generation,1,512,16,8,128
dynamic,AI_CORE,"1,32,128;4,128,4096;4,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,62.23,attention_generation,1,512,32,0,128
dynamic,AI_CORE,"1,32,128;4,128,128;4,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,63.10,attention_generation,1,512,32,1,128
dynamic,AI_CORE,"1,32,128;4,128,512;4,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,61.87,attention_generation,1,512,32,4,128
dynamic,AI_CORE,"1,32,128;4,128,1024;4,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,62.91,attention_generation,1,512,32,8,128
dynamic,AI_CORE,"1,40,128;4,128,5120;4,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,63.39,attention_generation,1,512,40,0,128
dynamic,AI_CORE,"1,40,128;4,128,128;4,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,62.33,attention_generation,1,512,40,1,128
dynamic,AI_CORE,"1,40,128;4,128,512;4,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,59.74,attention_generation,1,512,40,4,128
dynamic,AI_CORE,"1,40,128;4,128,1024;4,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,59.10,attention_generation,1,512,40,8,128
