framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,64,64,float16,float16,float16,DeepseekV32ForCausalLM,17.966549
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,128,64,float16,float16,float16,DeepseekV32ForCausalLM,38.270061
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,256,64,float16,float16,float16,DeepseekV32ForCausalLM,85.286602
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,512,64,float16,float16,float16,DeepseekV32ForCausalLM,185.897559
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,423.740078
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.235734
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,16,64,float16,float16,float16,DeepseekV32ForCausalLM,9.232809
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,32,64,float16,float16,float16,DeepseekV32ForCausalLM,17.983446
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,64,64,float16,float16,float16,DeepseekV32ForCausalLM,37.840530
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,128,64,float16,float16,float16,DeepseekV32ForCausalLM,84.171787
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,256,64,float16,float16,float16,DeepseekV32ForCausalLM,173.683145
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,512,64,float16,float16,float16,DeepseekV32ForCausalLM,365.986602
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,1,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.213533
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,16,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.238916
