framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,step,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.196299
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.166832
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.144460
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.186104
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.191915
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.211562
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.179115
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.192470
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.204310
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.270472
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.219186
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.225780
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.472378
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.464665
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.479275
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.214674
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.416313
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.245301
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.252996
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.239866
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.353712
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.321735
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.375519
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.376352
