framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,2097152,0.03912,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,2097152,0.04318,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,2641920,0.05158,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,2652160,0.0516,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,2781184,0.0497,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,3670016,0.14704,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,3670016,0.07432,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,3670016,0.0633,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,3952640,0.06872,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,4194304,0.1462,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,4194304,0.08493,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,4194304,0.07122,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,4194304,0.07284,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,5263360,0.08672,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,8388608,0.17527,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,8388608,0.25359,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,8388608,0.13884,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,8388608,0.1378,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,9185280,0.15486,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,16777216,0.18444,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,16777216,0.24438,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,16777216,0.34187,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,16777216,0.29596,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,22435840,0.59443,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,33554432,0.30246,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,33554432,0.30381,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,33554432,0.39477,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,33554432,0.59275,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,41943040,0.62311,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,67108864,0.59063,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,67108864,0.53807,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,67108864,0.66175,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,67108864,0.83308,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,134217728,1.1928,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,134217728,1.05666,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,134217728,1.2214,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,134217728,1.37309,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,268435456,2.37555,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,268435456,2.14222,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,268435456,2.44911,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,268435456,2.80932,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,2,536870912,4.77877,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,4,536870912,4.25643,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,8,536870912,4.81204,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,16,536870912,5.31833,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,128,0.0285,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,256,0.02991,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,512,0.03076,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,1024,0.02858,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,2048,0.02813,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,4096,0.02868,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,8192,0.02921,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,16384,0.02972,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,32768,0.03127,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,65536,0.02981,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,131072,0.03241,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,262144,0.03133,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,524288,0.03494,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,1048576,0.07799,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,2097152,0.0529,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,4194304,0.08571,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,8388608,0.32825,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,16777216,0.45878,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,33554432,0.74078,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,67108864,1.05619,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,134217728,1.61008,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,268435456,3.13969,AUTO
vllm-ascend,0.18.0,ascend_910b,all_reduce,HCCL,half,32,536870912,5.76196,AUTO
